,,,,,,
Slno.,Question,A,B,C,D,Answer
23,If xy is a 2-digit no. & x+y = 7; it becomes yx if 27 is added; what is xy?,61,25,34,43,25
24,"If DY = 42, GV = 75, and BZ = 21 then what is FT?",79,45,67,81,67
25,Paul completes 7 surveys in 8 days. How many can he complete in 40 days?,55,42,48,35,35
26,"What is the missing number in the series?: 0, 7, 26, 63, 124, ?, 342",255,235,311,215,215
27,The diagonals of a rhombus bisect each other at what angles?,Right,Obtuse,Straight ,Acute,Right
28,"If 2/3 of x is 60, then what is 4/5 of x?",55,68,72,85,72
28,Male:Female population in a town of 1500 is 3:2; Number of men in the town?,500,750,1000,900,900
29,What is -40 degrees Fahrenheit in Celsius scale?,75 Degrees,-40 Degrees,33 Degrees,40 Degrees,-40 Degrees
30,What is the value of 1 ≈ 10 ≈ 100 ≈ 1000?,1.00E-06,1.00E-05,1.00E-08,0.0001,1.00E-06
31,X is 80% of y; then y is how many percent of x?,125%,122%,75%,100%,125%
32,The two straight lines in the same plane which never meet are called,angles,transversal lines,vertex,parallel lines,parallel lines
33,The locus of a point in a plane equidistant from a fixed point is known as,triangle,rectangle,hexagon,circle,circle
34,The opposite angles of any quadrilateral inscribed in a circle are,tangent,supplementary,complementary,reflective,supplementary
35,"The angle subtended between any two chords of a circle, having common point on its circumference is called",circumangle,right angle,supplementary angle,complementary angle,circumangle
36,"The set of all the ordered pair (x, y) which satisfies the system of equations is called",solution set,null set,complex set,subset,solution set
37,A straight line which touches the circumference of a circle at a single point only is known as,secant,sector,tangent ,Segment,tangent
38,A line that intersects two lines in different points is known as,angles,transversal lines,vertex,parallel lines,transversal lines
39,"A rational fraction N(x)⁄D(x), with D(x) not equal to zero and degree of the N(x) is less than degree of D(x) is known as",proper fraction,rational fraction,irrational fraction,improper fraction,proper fraction
40,A line segment joining any 2 points on the circumference of a circle is called,arc,chord,segment,radius,chord
41, A line segment determined by the centre and a point on the circle is called,radial segment,diameter,chord,radius,radial segment
42,Two chords of a circle which are equidistant from the centre are, collinear,non-collinear,non-congruent,congruent,congruent
43,The quotient of two numbers or algebraic expressions is called a,proportion,ratio,fraction,variation,fraction
44,"When a circle is drawn through its four vertices, a quadrilateral is said to be",non-cyclic,cyclic,collinear,non-collinear,cyclic
45,A system of equations having a common solution is called a system of,CGS system,MKS system,simultaneous equations,hyperbolic equations ,simultaneous equations
46,"Arational fraction N(x)⁄D(x), with D(x) not equal to zero and degree of the N(x) is greater or equal than degree of D(x) is known as",proper fraction,rational fraction,irrational fraction,improper fraction,improper fraction
47,A straight line which cuts the circumference of a circle in two distinct points is known as,tangent,secant,segment,sector,secant
48,Any two angles in the same segment of a circle are,equal,not equal,reflexive,opposite,equal
49,The portion of a circle bounded by an arc and a corresponding chord is called,quadrants,segment,diameter,sector,segment
50,Three or more points lying on the same line are known as,non-collinear points,centre points,collinear points,fixed points,collinear points
51,The product of the roots of ax² + bx + c = 0 is,αβ = a⁄c,αβ = −a⁄c,αβ = b⁄a,αβ = c⁄a,αβ = c⁄a
52,"The process of finding the quotient and remainder, when a polynomial is divided by a linear polynomial is known as",synthetic division,symmetric division,non-synthetic division,extraneous division,synthetic division
53,"An expression of the form N(x)⁄D(x), where N and D are polynomial in x with real coefficients and D(x) not equal to zero is called",proper fraction,rational fraction,irrational fraction,improper fraction,rational fraction
54,"The functions in which roots involved are such that the value of the expressions remain unaltered, when they are interchanged are called",A - symmetric functions,symmetric functions,hyperbolic functions,synthetic function,symmetric functions
55,The sum of the roots of ax² + bx + c = 0 is,α + β = −b⁄a,α + β = b⁄a,α + β = - a⁄b,α + β = a⁄b,α + β = −b⁄a
56,"If Logx (1 / 8) = - 3 / 2, then x is equal to",-4,4,1/4,10,4
57,20 % of 2 is equal to,20,4,0.4,0.04,0.4
58,"If Log 4 (x) = 12, then log 2 (x / 4) is equal to",11,48,-12,22,22
59,"The population of a country increased by an average of 2% per year from 2000 to 2003. If the population of this country was 2 000 000 on December 31, 2003, then the population of this country on January 1, 2000, to the nearest thousand would have been",1846000,1852000,1000000,1500000,1846000
60,f is a quadratic function whose graph is a parabola opening upward and has a vertex on the x-axis. The graph of the new function g defined by g(x) = 2 - f(x - 5) has a range defined by the interval,"[ -5 , + infinity)","[ 2 , + infinity)"," ( - infinity , 2]"," ( - infinity , 0]"," ( - infinity , 2]"
61,f is a function such that f(x) < 0. The graph of the new function g defined by g(x) = | f(x) | is a reflection of the graph of f,on the y axis,on the x axis,on the line y = x,on the line y = - x,on the x axis
62,"If the graph of y = f(x) is transformed into the graph of 2y - 6 = - 4 f(x - 3), point (a , b) on the graph of y = f(x) becomes point (A , B) on the graph of 2y - 6 = - 4 f(x - 3) where A and B are given by","A = a - 3, B = b","A = a - 3, B = b","A = a + 3, B = -2 b","A = a + 3, B = -2 b +3","A = a + 3, B = -2 b +3"
63,"When a parabola represented by the equation y - 2x 2 = 8 x + 5 is translated 3 units to the left and 2 units up, the new parabola has its vertex at","(-5 , -1)","(-5 , -5)","(-1 , -3)","(-2 , -3)","(-5 , -1)"
64,"The graphs of the two linear equations a x + b y = c and b x - a y = c, where a, b and c are all not equal to zero,",are parallel,intersect at one point,intersect at two points, perpendicular, perpendicular
65,"The graphs of the two equations y = a x 2 + b x + c and y = A x 2 + B x + C, such that a and A have different signs and that the quantities b 2 - 4 a c and B 2 - 4 A C are both negative,",intersect at two points, intersect at one point,do not intersect,none of the above,do not intersect
66,"For x greater than or equal to zero and less than or equal to 2 π, sin x and cos x are both decreasing on the intervals","(0 , π/2)","(π/2 , π)","(π , 3 π / 2)","(3 π / 2 , 2 π)","(π/2 , π)"
67,"The three solutions of the equation f(x) = 0 are -2, 0, and 3. Therefore, the three solutions of the equation f(x - 2) = 0 are","- 4, -2, and 1","-2, 0 and 3","4, 2, and 5",".0, 2 and 5",".0, 2 and 5"
68,"The three solutions of the equation f(x) = 0 are - 4, 8, and 11. Therefore, the three solutions of the equation f(2 x) = 0 are","- 2, 4, and 11/2","- 8, 16 and 22","- 4, 8, and 11","2, 19 / 2 and 7 / 2","- 2, 4, and 11/2"
69,A school committee consists of 2 teachers and 4 students. The number of different committees that can be formed from 5 teachers and 10 students is,10,15,2100,8,2100
70,"Five different books (A, B, C, D and E) are to be arranged on a shelf. Books C and D are to be arranged first and second starting from the right of the shelf. The number of different orders in which books A, B and E may be arranged is",5!,3!,2!,3! * 2!,3!
71,"The mean of a data set is equal to 10 and its standard deviation is equal to 1. If we add 5 to each data value, then the mean and standard deviation become","mean = 15 , standard deviation = 6","mean = 10 , standard deviation = 6","mean = 15 , standard deviation = 1","mean = 10 , standard deviation = 1","mean = 15 , standard deviation = 1"
72,"The exam scores of all 500 students were recorded and it was determined that these scores were normally distributed. If Jane's score is 0.8 standard deviation above the mean, then how many, to the nearest unit, students scored above Jane?",394,250,400,106,106
73,"If f(x) is an odd function, then | f(x) | is",an odd function,an even function,neither odd nor even,even and odd,an even function
74,The period of | sin (3x) | is,2 π,2 π / 3,π / 3,3 π,π / 3
75,"When a metallic ball bearing is placed inside a cylindrical container, of radius 2 cm, the height of the water, inside the container, increases by 0.6 cm. The radius, to the nearest tenth of a centimeter, of the ball bearing is",1 cm,1.2 cm ,2 cm,0.6 cm,1.2 cm
76,The period of 2 sin x cos x is,4 π 2,2 π,4 π,π,π
77,"The probability that an electronic device produced by a company does not function properly is equal to 0.1. If 10 devices are bought, then the probability, to the nearest thousandth, that 7 devices function properly is",0.057,0.478,0.001,0,0.057
78,A line which cuts a pair of parallel lines is called,tangent,chord,traversal, intersector,traversal
79,"An angle whose value is ____, is called complete angle.", 180°,240°,360°,none of the above,360°
80,The areas of two similar triangles are 81 sq. cm and 49 sq. cm. Find the ratio of their corresponding heights,9:7,7:9,6:5,81:49:00,9:7
81,Consider ΔABD such that angle ADB = 20° and C is a point on BD such that AB=AC and CD=CA. Then the measure of angle ABC is,30°,40°,45°,60°,40°
82,"If the length and breadth of a rectangle are increased by a% and b% respectively, then the area will be increased by",(a-b+2ab/100)%,(a+b+2ab/100)%,(a+b+ab/100)%,(a-b+ab/100)%,(a+b+ab/100)%
83,"A, B and C can complete a piece of work in 14, 6 and 12 days respectively. Working together, they will complete the work in",19/9 days,27 days,28/9 days,25/8 days,28/9 days
84,"If Px = Qy = Rz  and Q/P = R/Q, then 2z/(x+z) = ?",y/z,y/x,x/y,z/y,y/x
85,"A shopkeeper purchases 15 mangoes for Rs. 10 and sells them at 10 mangoes for Rs. 15. Thus, he earns a profit of",50%,75%,80%,125%,125%
86,4950/6 + 112 x 1.75 = ? x 2,510.5,505.2,515.5,none of the above,510.5
87,"If a certain sum of money can become 5 times of its principal in 10 years, then the rate of interest is",20%,30%,40%,50%,40%
88,"An amount of Rs. 10,000 becomes Rs. 20,736 in 2 years. If the rate of interest is compounded half yearly, what is the annual rate of interest?",25%,20%,40%,25%,40%
89,"What will come in the place of question mark (?) in the following series? 
2, 5, 7, 12, 19, 31, 50, ?",81,74,69,none of the above,81
90,In an equilateral triangle has the height of 12 cm then what is the area of the triangle?,42√3 c.c.,48√3 c.c.,24√3 c.c.,34√3 c.c.,24√3 c.c.
91,"The monthly income and monthly expenditure ratio of A and B are 5:6 and 4:5 respectively. If both of them can have Rs. 500 as monthly savings, then what is the income of A?"," Rs. 3,000", Rs. 500," Rs. 5,000"," Rs. 2,500"," Rs. 2,500"
92,"Find out the least number which when multiplied by 45, the result becomes a perfect square.",9,15,5,None of the above,5
93,(175)^2 – (75)^2 = ?,5000,20000,25000,None of the above,25000
94,If a = (√3+1)/(√3-1) and b = (√3-1)/(√3+1) then (a^2+ab+b^2)/(a^2-ab+b^2) = ?,15/11,17/11,19/11,1,1
95,"If the fractions 3/5, 2/3, ¼, 5/7 and 6/11 are arranged in ascending order of their values, then which one will be the fourth",3/5,1/4,5/7,2/3,2/3
96,1 hectare = ?,1000 m2,10000 m2,100000 m2,None of the above,10000 m2
97,"The sum of two numbers is 24 and the sum of their squares is 386, then one number is",17,19,9,11,19
98,A wheel rotates 15 times each minute. How many degrees will it rotate in 12 seconds of time?,360°,720°,1080°,None of the above,1080°
99,"If f(n) = n^5 – n, n ϵ N, then f(n) is divisible by",25,30,35,32,30
100,"If “+” means “-“, “-“ means “x” means “/” and “/” means “+”, then
2 – 50 + 40 x 10 / 4 = ?",104,100,98,110,100
